import time: self [us] | cumulative | imported package
import time:       179 |        179 |   _io
import time:        20 |         20 |   marshal
import time:       195 |        195 |   posix
import time:       588 |        982 | _frozen_importlib_external
import time:       527 |        527 |   time
import time:       164 |        690 | zipimport
import time:        22 |         22 |     _codecs
import time:       319 |        340 |   codecs
import time:      2448 |       2448 |   encodings.aliases
import time:      2057 |       4845 | encodings
import time:       456 |        456 | encodings.utf_8
import time:        41 |         41 | _signal
import time:        16 |         16 |     _abc
import time:        86 |        101 |   abc
import time:        87 |        188 | io
import time:        31 |         31 |       _stat
import time:        47 |         77 |     stat
import time:       527 |        527 |     _collections_abc
import time:        25 |         25 |       errno
import time:        51 |         51 |       genericpath
import time:       106 |        181 |     posixpath
import time:       527 |       1311 |   os
import time:        42 |         42 |   _sitebuiltins
import time:       459 |        459 |   encodings.utf_8_sig
import time:       729 |        729 |   _distutils_hack
import time:       617 |        617 |   types
import time:       431 |        431 |     importlib
import time:       324 |        324 |     importlib._abc
import time:       103 |        858 |   importlib.util
import time:        25 |         25 |   importlib.machinery
import time:        31 |         31 |   sitecustomize
import time:      4546 |       8615 | site
import time:       388 |        388 | linecache
import time:        82 |         82 |           itertools
import time:       319 |        319 |           keyword
import time:       212 |        212 |             _operator
import time:      1778 |       1989 |           operator
import time:       454 |        454 |           reprlib
import time:        36 |         36 |           _collections
import time:       822 |       3699 |         collections
import time:        35 |         35 |         _functools
import time:       586 |       4319 |       functools
import time:       491 |        491 |         contextlib
import time:       826 |        826 |           enum
import time:       303 |        303 |             _sre
import time:       326 |        326 |               re._constants
import time:       500 |        826 |             re._parser
import time:       262 |        262 |             re._casefix
import time:       333 |       1723 |           re._compiler
import time:       333 |        333 |           copyreg
import time:      1130 |       4010 |         re
import time:       241 |        241 |         fnmatch
import time:       432 |       5173 |       glob
import time:       395 |       9886 |     pathlib._abc
import time:        38 |         38 |         _winapi
import time:        33 |         33 |         nt
import time:        30 |         30 |         nt
import time:        30 |         30 |         nt
import time:        30 |         30 |         nt
import time:        28 |         28 |         nt
import time:        28 |         28 |         nt
import time:        27 |         27 |         nt
import time:       130 |        371 |       ntpath
import time:       508 |        508 |       warnings
import time:        19 |         19 |       pwd
import time:      1011 |       1011 |       grp
import time:       469 |       2375 |     pathlib._local
import time:       388 |      12649 |   pathlib
import time:        15 |         15 |     _typing
import time:      1509 |       1523 |   typing
import time:       209 |        209 |     transformers.dependency_versions_table
import time:       332 |        332 |         huggingface_hub
import time:       270 |        270 |         __future__
import time:       597 |        597 |             _ast
import time:       871 |       1468 |           ast
import time:       874 |        874 |               _opcode
import time:       333 |        333 |               _opcode_metadata
import time:       371 |       1577 |             opcode
import time:       851 |       2427 |           dis
import time:       268 |        268 |             token
import time:        14 |         14 |             _tokenize
import time:       564 |        845 |           tokenize
import time:       317 |        317 |             _weakrefset
import time:       416 |        733 |           weakref
import time:      1476 |       6947 |         inspect
import time:       959 |        959 |               _json
import time:       285 |       1244 |             json.scanner
import time:       434 |       1677 |           json.decoder
import time:       464 |        464 |           json.encoder
import time:       449 |       2589 |         json
import time:       890 |        890 |           _struct
import time:       322 |       1211 |         struct
import time:       267 |        267 |           concurrent
import time:       543 |        543 |                 textwrap
import time:       403 |        403 |                 _colorize
import time:       514 |       1460 |               traceback
import time:        24 |         24 |                 _string
import time:       569 |        593 |               string
import time:       624 |        624 |               threading
import time:        32 |         32 |               atexit
import time:      1223 |       3929 |             logging
import time:       608 |       4537 |           concurrent.futures._base
import time:       211 |       5015 |         concurrent.futures
import time:       968 |        968 |               _heapq
import time:       334 |       1302 |             heapq
import time:       913 |        913 |             _queue
import time:       451 |       2666 |           queue
import time:       378 |       3043 |         concurrent.futures.thread
import time:       408 |        408 |           copy
import time:       577 |        984 |         dataclasses
import time:      1159 |       1159 |           _datetime
import time:       149 |       1307 |         datetime
import time:       551 |        551 |           urllib
import time:       914 |        914 |           math
import time:      1006 |       1006 |           ipaddress
import time:       648 |       3118 |         urllib.parse
import time:      1136 |       1136 |                 _socket
import time:      1367 |       1367 |                   select
import time:       814 |       2180 |                 selectors
import time:       942 |        942 |                 array
import time:      1434 |       5691 |               socket
import time:       608 |        608 |                 email
import time:       565 |       1172 |               email.errors
import time:       643 |        643 |                 http
import time:      1708 |       1708 |                         binascii
import time:       347 |        347 |                         email.quoprimime
import time:       631 |        631 |                           base64
import time:       349 |        979 |                         email.base64mime
import time:       520 |        520 |                             quopri
import time:       192 |        712 |                           email.encoders
import time:       265 |        977 |                         email.charset
import time:       748 |       4757 |                       email.header
import time:       390 |        390 |                         email._parseaddr
import time:       523 |        913 |                       email.utils
import time:       415 |       6083 |                     email._policybase
import time:       561 |       6644 |                   email.feedparser
import time:       631 |       7274 |                 email.parser
import time:       383 |        383 |                   email._encoded_words
import time:       307 |        307 |                   email.iterators
import time:       547 |       1236 |                 email.message
import time:      5666 |       5666 |                   _ssl
import time:      2949 |       8615 |                 ssl
import time:     10066 |      27832 |               http.client
import time:      6652 |      41346 |             urllib3.exceptions
import time:       356 |        356 |                     urllib3.util.timeout
import time:       633 |        989 |                   urllib3.util.connection
import time:       229 |        229 |                     urllib3.util.util
import time:        43 |         43 |                     brotlicffi
import time:        34 |         34 |                     brotli
import time:        31 |         31 |                     backports
import time:       405 |        740 |                   urllib3.util.request
import time:       191 |        191 |                   urllib3.util.response
import time:       604 |        604 |                         _bisect
import time:       287 |        890 |                       bisect
import time:       531 |        531 |                       _random
import time:       439 |       1859 |                     random
import time:      1165 |       3023 |                   urllib3.util.retry
import time:      8095 |       8095 |                       _hashlib
import time:      1558 |       1558 |                       _blake2
import time:       588 |      10240 |                     hashlib
import time:       871 |        871 |                     hmac
import time:      3352 |       3352 |                     urllib3.util.url
import time:       601 |        601 |                     urllib3.util.ssltransport
import time:       348 |      15410 |                   urllib3.util.ssl_
import time:       176 |        176 |                   urllib3.util.wait
import time:       530 |      21054 |                 urllib3.util
import time:        13 |      21067 |               urllib3.util.connection
import time:       670 |      21737 |             urllib3._base_connection
import time:       603 |        603 |             urllib3._collections
import time:       280 |        280 |             urllib3._version
import time:        65 |         65 |                       _winapi
import time:        94 |         94 |                       winreg
import time:       649 |        807 |                     mimetypes
import time:       353 |       1159 |                   urllib3.fields
import time:       469 |       1628 |                 urllib3.filepost
import time:      1509 |       1509 |                   zlib
import time:        61 |         61 |                   brotlicffi
import time:        38 |         38 |                   brotli
import time:       567 |        567 |                               _compression
import time:      2376 |       2376 |                               _bz2
import time:       528 |       3470 |                             bz2
import time:      1505 |       1505 |                               _lzma
import time:       530 |       2035 |                             lzma
import time:      1061 |       6565 |                           shutil
import time:       437 |        437 |                             zipfile._path.glob
import time:       428 |        865 |                           zipfile._path
import time:       949 |       8379 |                         zipfile
import time:       298 |        298 |                         importlib.metadata._meta
import time:       242 |        242 |                         importlib.metadata._collections
import time:       240 |        240 |                         importlib.metadata._functools
import time:       228 |        228 |                         importlib.metadata._itertools
import time:       529 |        529 |                               tempfile
import time:       418 |        418 |                               importlib.resources.abc
import time:       345 |       1290 |                             importlib.resources._common
import time:       337 |        337 |                             importlib.resources._functional
import time:       252 |       1879 |                           importlib.resources
import time:       370 |       2248 |                         importlib.abc
import time:      1164 |      12795 |                       importlib.metadata
import time:       930 |      13725 |                     urllib3.http2
import time:       262 |        262 |                     urllib3.http2.probe
import time:       221 |        221 |                     urllib3.util.ssl_match_hostname
import time:      1030 |      15236 |                   urllib3.connection
import time:        51 |         51 |                   backports
import time:       903 |      17795 |                 urllib3.response
import time:       462 |      19884 |               urllib3._request_methods
import time:       203 |        203 |               urllib3.util.proxy
import time:       616 |      20702 |             urllib3.connectionpool
import time:       614 |        614 |             urllib3.poolmanager
import time:       572 |      85851 |           urllib3
import time:      2772 |       2772 |                   ada92cb5d92a588d1b93__mypyc
import time:      1125 |       1125 |                   charset_normalizer.constant
import time:      1409 |       1409 |                     unicodedata
import time:      3377 |       4785 |                   charset_normalizer.utils
import time:       351 |        351 |                   charset_normalizer.models
import time:      4476 |      13507 |                 charset_normalizer.cd
import time:      1434 |       1434 |                 _multibytecodec
import time:      9743 |      24683 |               charset_normalizer.api
import time:       304 |        304 |               charset_normalizer.legacy
import time:       186 |        186 |               charset_normalizer.version
import time:        53 |         53 |               simplejson
import time:       554 |        554 |                     urllib.response
import time:       506 |       1060 |                   urllib.error
import time:     27628 |      27628 |                   _scproxy
import time:      1163 |      29850 |                 urllib.request
import time:        54 |         54 |                     _locale
import time:       795 |        848 |                   locale
import time:       926 |       1774 |                 calendar
import time:      1589 |      33212 |               http.cookiejar
import time:      1208 |       1208 |               http.cookies
import time:       796 |      60439 |             requests.compat
import time:       899 |      61337 |           requests.exceptions
import time:        93 |         93 |           chardet
import time:       395 |        395 |                 idna.idnadata
import time:       176 |        176 |                 idna.intranges
import time:       772 |       1342 |               idna.core
import time:       303 |        303 |               idna.package_data
import time:       412 |       2056 |             idna
import time:       597 |       2652 |           requests.packages
import time:       328 |        328 |                 certifi.core
import time:       482 |        810 |               certifi
import time:       156 |        965 |             requests.certs
import time:       282 |        282 |             requests.__version__
import time:       245 |        245 |             requests._internal_utils
import time:       710 |        710 |             requests._types
import time:       386 |        386 |             requests.cookies
import time:       594 |        594 |             requests.structures
import time:       567 |        567 |             importlib.resources._adapters
import time:       291 |        291 |                 importlib.resources._itertools
import time:       353 |        643 |               importlib.resources.readers
import time:       458 |       1101 |             importlib.readers
import time:       779 |       5624 |           requests.utils
import time:       341 |        341 |                 requests.auth
import time:       385 |        385 |                     stringprep
import time:       496 |        881 |                   encodings.idna
import time:       107 |        107 |                   requests.hooks
import time:       344 |        344 |                   requests.status_codes
import time:       658 |       1989 |                 requests.models
import time:       326 |        326 |                   urllib3.contrib
import time:        54 |         54 |                   socks
import time:       315 |        693 |                 urllib3.contrib.socks
import time:       376 |       3398 |               requests.adapters
import time:       426 |       3824 |             requests.sessions
import time:       369 |       4193 |           requests.api
import time:       790 |     160538 |         requests
import time:       298 |        298 |             tqdm._monitor
import time:       251 |        251 |             tqdm._tqdm_pandas
import time:       475 |        475 |                 numbers
import time:        42 |         42 |                   envwrap
import time:       337 |        378 |                 tqdm.utils
import time:       797 |       1649 |               tqdm.std
import time:       258 |        258 |                   importlib.metadata._text
import time:       449 |        706 |                 importlib.metadata._adapters
import time:      1655 |       2361 |               tqdm.version
import time:       334 |       4343 |             tqdm.cli
import time:       336 |        336 |             tqdm.gui
import time:      1514 |       6739 |           tqdm
import time:       149 |        149 |           tqdm.autonotebook
import time:       628 |        628 |                   signal
import time:      1000 |       1000 |                   fcntl
import time:        45 |         45 |                   msvcrt
